City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
5,Mahebourg,MU,69.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
10,Lorengau,PG,85.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
13,Tezu,IN,68.76,clear sky,27.9167,96.1667,Circuit House
15,Bathsheba,BB,79.97,few clouds,13.2167,-59.5167,Atlantis Hotel
20,Yenagoa,NG,74.64,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
21,Geraldton,AU,66.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
27,Xai-Xai,MZ,71.29,clear sky,-25.0519,33.6442,Complexo da Familia
28,Madaoua,NE,70.38,broken clouds,14.073,5.96,
29,Santa Cruz,BO,78.8,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
34,Atuona,PF,78.28,overcast clouds,-9.8,-139.0333,Villa Enata
35,Camana,PE,65.86,overcast clouds,-16.6228,-72.7111,Hostal Morales
37,Butaritari,KI,80.92,broken clouds,3.0707,172.7902,Isles Sunset Lodge
39,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
40,Mecca,SA,76.12,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
41,Eirunepe,BR,72.54,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
42,Taoudenni,ML,71.26,clear sky,22.6783,-3.9836,
45,Hilo,US,80.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
49,Vaini,TO,78.01,clear sky,-21.2,-175.2,Keleti Beach Resort
51,Saint-Philippe,RE,67.59,few clouds,-21.3585,55.7679,Le four à pain
52,Kavieng,PG,84.51,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
53,Touros,BR,78.01,few clouds,-5.1989,-35.4608,INN NEW HORIZON
55,Hobart,AU,66.22,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
59,Atambua,ID,86.72,scattered clouds,-9.1061,124.8925,Ros Muskanan
60,East London,ZA,65.26,overcast clouds,-33.0153,27.9116,Tu Casa
64,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
65,Ca Mau,VN,82.98,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
66,Nelson Bay,AU,68.05,broken clouds,-32.7167,152.15,Mantra Nelson Bay
67,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
74,Nguru,NG,68.43,few clouds,12.8791,10.4526,Government Lodge
75,Arraial Do Cabo,BR,71.22,clear sky,-22.9661,-42.0278,Pousada Porto Praia
76,Broken Hill,AU,73.56,broken clouds,-31.95,141.4333,Royal Exchange Hotel
78,Mana,GF,78.51,broken clouds,5.6592,-53.7767,LE SAMANA
80,Rio Grande,BR,66.25,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
81,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Santa Vitoria Do Palmar,BR,65.32,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
87,Uvinza,TZ,65.19,overcast clouds,-5.1036,30.3911,Crown Lodge and lounge
92,Pundaguitan,PH,80.64,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
93,Coahuayana,MX,75.6,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
95,Poso,ID,85.26,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
96,Orizona,BR,70.92,scattered clouds,-17.0314,-48.2958,Casa Ribeiro de Almeida
97,Det Udom,TH,83.8,overcast clouds,14.906,105.0784,Chatsuda Resort
101,Porto Novo,BJ,77.56,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
109,Galle,LK,76.21,overcast clouds,6.0367,80.217,Amangalla
110,Merauke,ID,84.58,overcast clouds,-8.4667,140.3333,
111,Ginowan,JP,79.79,broken clouds,26.2627,127.7615,Laguna Garden Hotel Okinawa
120,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
