City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,31.01,70,97,11.99,overcast clouds
1,Barrow,US,71.2906,-156.7887,32.5,87,100,9.98,overcast clouds
2,Kahului,US,20.8947,-156.47,82.98,80,24,8.99,few clouds
3,Cape Town,ZA,-33.9258,18.4232,59.92,75,0,8.05,clear sky
4,Talara,PE,-4.5772,-81.2719,64.76,88,94,13.33,overcast clouds
5,Mahebourg,MU,-20.4081,57.7,69.26,88,20,6.91,few clouds
6,Hualmay,PE,-11.0964,-77.6139,64.45,83,46,7.16,scattered clouds
7,Busselton,AU,-33.65,115.3333,53.89,68,87,20.94,light rain
8,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,35,0,11.5,clear sky
9,Klaksvik,FO,62.2266,-6.589,47.32,83,88,35.9,light rain
10,Lorengau,PG,-2.0226,147.2712,85.87,64,97,6.2,overcast clouds
11,Grindavik,IS,63.8424,-22.4338,41.47,100,100,6.91,overcast clouds
12,Hammerfest,NO,70.6634,23.6821,30.65,93,47,3.44,scattered clouds
13,Tezu,IN,27.9167,96.1667,68.76,37,0,0.98,clear sky
14,Nikolskoye,RU,59.7035,30.7861,26.49,84,10,6.24,clear sky
15,Bathsheba,BB,13.2167,-59.5167,79.97,78,14,17.05,few clouds
16,Cairns,AU,-16.9167,145.7667,98.06,62,32,12.66,scattered clouds
17,Katsuura,JP,35.1333,140.3,61.5,64,86,10.83,overcast clouds
18,Havoysund,NO,70.9963,24.6622,37.63,81,24,8.3,few clouds
19,Juneau,US,58.3019,-134.4197,34.21,93,40,0.0,fog
20,Yenagoa,NG,4.9247,6.2642,74.64,92,44,3.42,scattered clouds
21,Geraldton,AU,-28.7667,114.6,66.61,55,75,24.16,broken clouds
22,Mataura,NZ,-46.1927,168.8643,58.48,59,92,1.43,overcast clouds
23,Narsaq,GL,60.9167,-46.05,17.82,94,100,1.16,light snow
24,Huarmey,PE,-10.0681,-78.1522,64.58,85,79,6.22,broken clouds
25,Semirom,IR,31.4167,51.5667,37.02,97,100,6.69,overcast clouds
26,Port Alfred,ZA,-33.5906,26.891,63.18,94,100,7.38,overcast clouds
27,Xai-Xai,MZ,-25.0519,33.6442,71.29,76,3,6.62,clear sky
28,Madaoua,NE,14.073,5.96,70.38,19,76,9.46,broken clouds
29,Santa Cruz,BO,-17.8,-63.1667,78.8,35,1,4.47,clear sky
30,Russkaya Polyana,UA,49.417,31.9201,29.32,84,100,8.12,overcast clouds
31,Pacific Grove,US,36.6177,-121.9166,57.38,75,0,3.44,clear sky
32,Cherskiy,RU,68.75,161.3,-24.11,100,100,5.79,overcast clouds
33,Ushuaia,AR,-54.8,-68.3,51.46,43,40,12.66,scattered clouds
